#datetime,vwap
1591018140,20.0978
1591018200,20.0292
1591018260,20.0502
1591018320,20.0932
1591018380,20.0764
1591018440,20.0780
1591018500,20.1606
1591018560,20.1443
1591018620,20.1081
1591018680,20.1375
1591018740,20.1847
1591018800,20.2264
1591018860,20.2668
1591018920,20.2763
1591018980,20.2998
1591019040,20.3017
1591019100,20.3528
1591019160,20.3115
1591019220,20.2939
1591019280,20.2741
1591019340,20.2442
1591019400,20.2354
1591019460,20.2103
1591019520,20.2022
1591019580,20.1745
1591019640,20.1752
1591019700,20.1778
1591019760,20.1957
1591019820,20.1966
1591019880,20.1991
1591019940,20.1796
1591020000,20.1589
1591020060,20.1863
1591020120,20.2135
1591020180,20.2048
1591020240,20.2451
1591020300,20.2791
1591020360,20.2940
1591020420,20.2726
1591020480,20.2868
1591020540,20.2843
1591020600,20.2915
1591020660,20.3411
1591020720,20.3796
1591020780,20.3215
1591020840,20.3356
1591020900,20.3393
1591020960,20.3415
1591021020,20.3741
1591021080,20.3696
1591021140,20.3491
1591021200,20.3560
1591021260,20.3558
1591021320,20.3652
1591021380,20.3848
1591021440,20.3881
1591021500,20.3536
1591021560,20.3808
1591021620,20.3872
1591021680,20.3710
1591021740,20.3806
1591021800,20.3980
1591021860,20.3836
1591021920,20.3810
1591021980,20.3817
1591022040,20.3696
1591022100,20.3534
1591022160,20.3678
1591022220,20.3678
1591022280,20.3563
1591022340,20.3524
1591022400,20.3493
1591022460,20.3384
1591022520,20.3314
1591022580,20.3530
1591022640,20.3606
1591022700,20.3612
1591022760,20.3615
1591022820,20.3472
1591022880,20.3455
1591022940,20.3445
1591023000,20.3333
1591023060,20.3109
1591023120,20.3087
1591023180,20.3226
1591023240,20.3385
1591023300,20.3463
1591023360,20.3348
1591023420,20.3103
1591023480,20.3076
1591023540,20.3096
1591023600,20.3097
1591023660,20.3013
1591023720,20.2944
1591023780,20.2888
1591023840,20.2637
1591023900,20.2597
1591023960,20.2705
1591024020,20.2777
1591024080,20.2863
1591024140,20.2776
1591024200,20.2647
1591024260,20.2706
1591024320,20.2870
1591024380,20.2827
1591024440,20.3029
1591024500,20.3011
1591024560,20.3044
1591024620,20.3110
1591024680,20.3302
1591024740,20.2901
1591024800,20.2786
1591024860,20.2713
1591024920,20.2637
1591024980,20.2467
1591025040,20.2275
1591025100,20.2058
1591025160,20.2023
1591025220,20.1983
1591025280,20.2247
1591025340,20.2118
1591025400,20.2169
1591025460,20.2063
1591025520,20.2035
1591025580,20.2028
1591025640,20.2007
1591025700,20.2062
1591025760,20.2082
1591025820,20.2003
1591025880,20.2093
1591025940,20.2095
1591026000,20.2325
1591026060,20.2356
1591026120,20.2485
1591026180,20.2605
1591026240,20.2628
1591026300,20.2428
1591026360,20.2418
1591026420,20.2473
1591026480,20.2808
1591026540,20.3183
1591026600,20.2930
1591026660,20.3065
1591026720,20.3092
1591026780,20.3123
1591026840,20.3045
1591026900,20.2963
1591026960,20.2882
1591027020,20.2870
1591027080,20.3019
1591027140,20.2973
1591027200,20.2995
1591027260,20.3031
1591027320,20.3131
1591027380,20.3292
1591027440,20.3618
1591027500,20.3698
1591027560,20.3736
1591027620,20.3752
1591027680,20.4039
1591027740,20.4473
1591027800,20.4670
1591027860,20.4514
1591027920,20.4579
1591027980,20.4475
1591028040,20.4203
1591028100,20.4182
1591028160,20.4475
1591028220,20.4443
1591028280,20.4480
1591028340,20.4472
1591028400,20.4309
1591028460,20.4375
1591028520,20.4689
1591028580,20.5052
1591028640,20.5335
1591028700,20.5224
1591028760,20.5208
1591028820,20.5045
1591028880,20.5115
1591028940,20.5212
1591029000,20.5435
1591029060,20.5449
1591029120,20.5227
1591029180,20.5100
1591029240,20.5025
1591029300,20.5033
1591029360,20.5146
1591029420,20.5464
1591029480,20.5474
1591029540,20.5518
1591029600,20.5205
1591029660,20.5256
1591029720,20.5164
1591029780,20.5329
1591029840,20.5216
1591029900,20.5187
1591029960,20.5284
1591030020,20.5214
1591030080,20.5073
1591030140,20.5198
1591030200,20.5280
1591030260,20.5171
1591030320,20.5130
1591030380,20.5126
1591030440,20.4864
1591030500,20.4649
1591030560,20.4489
1591030620,20.4494
1591030680,20.4453
1591030740,20.4595
1591030800,20.4724
1591030860,20.4744
1591030920,20.4742
1591030980,20.4704
1591031040,20.4642
1591031100,20.4652
